,source_1,source_2
0,5926,48616
1,5935,11641
2,5940,39092
3,5976,39106
4,5997,12166
5,6010,10714
6,6045,10898
7,6049,7552
8,6059,38444
9,6060,2298
10,6076,1371
11,6140,11399
12,6142,11670
13,6145,2047
14,6148,7279
15,6152,41163
16,6154,16952
17,6155,11680
18,6170,33960
19,6176,40232
20,6178,37640
21,6205,1886
22,6207,9448
23,6209,10846
24,6212,3234
25,6214,37791
26,6215,19447
27,6216,30446
28,6219,3123
29,6220,13053
30,6223,8962
31,6224,40430
32,6226,4106
33,6566,36949
34,6235,49086
35,6255,16468
36,6321,6223
37,6626,40213
38,6393,11416
39,6394,37493
40,6400,38308
41,6402,42575
42,6413,8569
43,6415,704
44,6416,10712
45,6417,17047
46,6445,3236
47,6448,41333
48,6455,5549
49,6480,40190
50,6516,42408
51,6522,34598
52,6544,16070
53,6556,24794
54,7107,37899
55,7108,38092
56,6578,11564
57,6580,8591
58,6586,36515
59,6591,19920
60,6624,19510
61,6627,8938
62,6628,41651
63,6629,43694
64,6634,22325
65,6640,20855
66,6658,45477
67,6659,425
68,6664,9349
69,6689,16076
70,6691,42268
71,6704,41169
72,6709,19913
73,6732,726
74,6794,39999
75,6801,11476
76,6804,4227
77,6813,11309
78,6817,35734
79,6822,42878
80,6823,22029
81,6828,3730
82,6836,46740
83,6843,41350
84,6869,32522
85,6881,5371
86,6897,1437
87,6906,17135
88,6908,7551
89,6953,10940
90,6975,8349
91,6975,46041
92,6992,39845
93,6994,17938
94,7004,36538
95,7020,42498
96,7026,45680
97,7027,6597
98,7029,11690
99,7080,11589
100,7088,46528
101,7091,6876
102,7134,11505
103,7135,3684
104,7144,2163
105,7146,47110
106,7148,1016
107,7149,42418
108,7164,266
109,7270,41271
110,7280,38325
111,7287,46695
112,7290,41713
113,7297,903
114,7310,25390
115,7346,39934
116,7354,33256
117,7362,11027
118,7365,38569
119,7366,44083
120,7379,11272
121,7423,7433
122,7427,34876
123,7519,49044
124,8067,23080
125,7599,5966
126,7603,38568
127,7670,10040
128,7672,5068
129,7684,10053
130,7687,1397
131,7700,42303
132,7718,16943
133,7724,8571
134,7728,43131
135,7739,4543
136,7749,20046
137,7779,4582
138,7787,39056
139,7913,44204
140,7916,7504
141,7917,48840
142,7919,36914
143,7952,8736
144,7953,9984
145,7954,40765
146,8607,43883
147,8003,25004
148,8010,40145
149,8484,32547
150,8051,28657
151,8086,46744
152,8099,10058
153,8103,5524
154,8104,41321
155,8105,24892
156,8132,38186
157,8155,36046
158,8157,37065
159,8332,38939
160,8360,5107
161,8384,10190
162,8386,47179
163,8394,5473
164,8427,3904
165,8431,17348
166,8432,3794
167,8433,36456
168,8437,16930
169,8442,442
170,8446,42854
171,8447,3134
172,8463,36774
173,8496,42912
174,8632,38570
175,8635,41567
176,8667,22729
177,8668,42422
178,8679,22312
179,8781,28368
180,9980,17158
181,8816,39338
182,8822,36005
183,8864,11785
184,8865,40237
185,8872,16065
186,8875,3582
187,8880,21352
188,8898,20486
189,8926,39846
190,8934,41458
191,8969,42655
192,9031,18661
193,9038,22339
194,9046,41358
195,9050,9062
196,9073,37603
197,9074,8528
198,9076,9038
199,9150,6927
200,9152,35724
201,9154,42536
202,9155,23313
203,9160,35733
204,9171,8902
205,9177,21304
206,9178,11513
207,9179,16819
208,9180,7280
209,9184,16145
210,9210,46605
211,9217,23564
212,9218,11275
213,9243,21481
214,9245,6224
215,9251,42077
216,9259,44114
217,9260,4673
218,9268,15356
219,9269,41231
220,9276,36544
221,9282,8362
222,9308,36582
223,9318,16553
224,9428,5777
225,9436,24893
226,9438,40204
227,9448,17050
228,9461,7408
229,9469,12638
230,9470,19830
231,9479,36658
232,9509,40621
233,9518,9035
234,9520,26153
235,9522,5752
236,9523,16909
237,9529,19914
238,9533,9348
239,9535,5717
240,9539,41629
241,9556,12346
242,9584,3930
243,9585,45699
244,9614,39996
245,9620,36707
246,9621,47710
247,9636,1234
248,9651,13127
249,9658,26175
250,9659,5494
251,9660,21050
252,9671,1329
253,9684,35718
254,9687,36378
255,9712,42429
256,9728,16091
257,9734,16938
258,9743,5607
259,9744,7281
260,9767,40876
261,9768,8979
262,9786,10929
263,9799,45334
264,10186,41885
265,10187,5713
266,9855,8907
267,9867,36545
268,9870,44872
269,9871,40199
270,9875,7494
271,9876,16892
272,9910,6278
273,9918,10252
274,9931,11497
275,9935,48054
276,9943,44174
277,9944,14601
278,9987,10602
279,9988,48308
280,9994,520
281,9996,41637
282,9999,19536
283,10001,41277
284,10002,7268
285,10011,9060
286,10066,14329
287,10016,11678
288,10060,21530
289,10066,39706
