,source_1,source_2
0,11198,8946
1,11199,42547
2,11200,32546
3,11209,21116
4,11219,11728
5,11236,19644
6,11237,42288
7,11258,42162
8,11261,28810
9,11265,42507
10,11266,21457
11,11284,3777
12,11285,30362
13,11287,19280
14,11289,7471
15,12425,7342
16,11299,31331
17,11301,28765
18,11304,18687
19,11305,911
20,11705,16798
21,11325,9167
22,11330,41857
23,11331,39861
24,11332,16495
25,11333,37941
26,11334,16358
27,11335,42617
28,11337,16519
29,11356,38597
30,11357,40152
31,11372,9151
32,11375,405
33,11392,24775
