,id1,source_1,id2,source_2
0,11198,Dynamometers,8946,dynamometers
1,11199,Surface-finish testing instruments,42547,testing
2,11200,Machines for taking three-dimensional measurements,32546,measurement
3,11209,Artificial honeycombs,21116,honeycombs
4,11219,Hand sieves and hand riddles,11728,sieves
5,11236,Autom.electronic controllers f/anti-lock braking syst.,19644,raking
6,11237,Autom.electronic controllers f/suspension systems,42288,suspension systems
7,11258,"Duplicating stylos,pencil-holders and similar articles",42162,stylos
8,11261,"Pastels,draw.charc.writing/drawing chalks and tailors'",28810,chalk
9,11265,Autom.instruments and apparatus f/checking temperature,42507,temperature
10,11266,Autom.instruments and apparatus f/checking humidity,21457,humidity
11,11284,Other meat of chickens and hens,3777,chickens
12,11285,Anonyas and others fruits of genero Annona,30362,annona
13,11287,"Pitaias (Hylocereus spp., Selenicereus undatus)",19280,hylocereus
14,11289,Other articles and prostheses apparatus,7471,prostheses
15,12425,Intra-ocular lenses,7342,lens
16,11299,Non-implantable artificial breasts,31331,breasts
17,11301,Parts for the upper or lower artificial limbs,28765,limbs
18,11304,"Pacemakers f/stimulating heart muscles,excl.parts/acces",18687,heart muscle
19,11305,Automatic cardiac defibrillators,911,brill
20,11705,Oth.apparatus f/compensating deficiencies/illnesses,16798,deficiencies
21,11325,Yokes for watch apparatus,9167,yokes
22,11330,Carambolas (Averrhoa carambola),41857,averrhoa
23,11331,Jacas (Artocarpus heterophyllus),39861,artocarpus
24,11332,Lechias (Litchi chinensis),16495,litchi
25,11333,Maracujás (Passiflora edulis),37941,passiflora
26,11334,Tamarindos (Tamarindus indica),16358,tamarindus
27,11335,Purês de cupuaçu (Theobroma grandiflorum),42617,theobroma
28,11337,"Água de coco (Cocos nucifera) com valor Brix não superior a 7,4",16519,cocos
29,11356,"Reciprocat.posit.displacement pumps, 5hp<potency<=600hp",38597,placement
30,11357,Other reciprocating positive displacement pumps,40152,displacement
31,11372,Piledrivers and pile-extractors,9151,extractors
32,11375,"Mach.f/perforat.of tunnels and galleries, self-propelled",405,tunnels
33,11392,"Hooks and rings, of cast iron/iron/steel",24775,hooks
34,11427,Pneumatic conveyors mobile appar.with engines>120hp,5706,conveyors
35,11428,Other pneumatic elevators and conveyors,8685,elevators
36,11432,"Machin.elevators/conveyors of goods, chain type",9229,chain conveyors
37,11439,"Machinery for disembarkation of lifeboats, etc",39334,lifeboats
38,11454,"Barbed wire of other iron or steel, used f/fencing",11668,fencing
39,11489,"Mach.sprayin.press.butt.f/project.liquid/powders, foams",11600,foams
40,11492,"Parts of fire extinguis./mach.f/spraying, etc.hand oper.",41883,spraying
41,11512,"Protocol analysers,for telecommunications",8339,telecommunications
42,11523,Electr.trains of toy.incl.tracks/signals/acces.therefor,36550,signals
43,11531,"Other toys and models,incorporating a motor,electric",34921,models
44,11550,Parts and acces.f/measur.appar.etc.ionising radiations,39807,radiation
45,11555,Video games used with a television receiver,42499,television
46,11568,Shredding machinery for cotton,2725,redd+
47,11592,Unrefined copper  and anodes cop.f/electr.refining,39717,refining
48,11605,Oth.drawing marking-out or mathemat.calcul.intruments,9008,marking
49,11615,Other appar. of eletrodiag. by ultrasonic scanning,1782,canning
50,11616,Magnetic resonance imaging apparatus,5861,aging
51,11661,Scent sprays and sim.toilet spr.mounts and heads ther.,39242,prays
52,11688,Collections and collectors' pieces of zoolog.botan.etc.,16924,collection
53,11694,Goods in devolution,10666,evolution
54,11698,Oth.recep.appar.radio-broadcasting  by pile/electr.etc.,990,broadcasting
55,11700,"Circuit obtain.bipolar technology,not mounted",42488,technology
56,11706,Parts/access.of pacemakers f/stimulating heart muscles,36409,muscles
57,11709,"Tomography apparatus, program controlled",5221,tomography
58,11714,"Apparatus of x-rays,for diagnostic angiography",7771,angiography
59,11744,"Oth.appar.of x-rays,f/radiography or radiotherapy",17656,radiotherapy
60,11742,Caprylic acid,5386,caprylic acid
61,11744,"Oth.appar.of x-rays,f/radiography or radiotherapy",39818,radiography
62,11746,"Gamma therapy apparatus f/medical,surgical,etc.",42632,therapy
63,11758,Mach.appl.f/testing tensile strength/metals compress.,3481,tensile strength
64,11769,"Public central, eletron. commutator, includ. traffic",22428,traffic
65,11785,"Clinical thermometers,of liquid,of direct reading",42640,thermometers
66,11802,Cartridges for riveting/captive-bolt humane killers,42158,captive bolt
67,11826,Electrophoresis instruments,8574,electrophoresis
68,11827,Automatic dna sequencing by means of capil.electrop.,6969,dna
69,11829,Spectrometers of optical emission (atomic emission ),17380,emission
70,11831,Spectrophotometers,7550,spectrophotometers
71,11909,Direction finding compasses,4198,direction finding
72,11910,Height measure for aeronautical or space navigation,4199,navigation
73,11911,Automat.pilots f/aeronautical or space navigation,41073,pace
74,11917,Rangefinders,2691,gef
75,11918,"Theodolites and tachymeters,with prism,etc.prec=1sec",4660,heod
76,11920,Levels,12607,water levels
77,11921,"Photogrammetrical,surveying instruments and appliances",42284,surveying
78,11937,Rods of pumping for extraction of oil,11651,pumping
79,11973,Proximity cards and tags,24846,tags
80,11981,Gener.of special effects with man.2/3 dimen.etc.f/video,40559,effects
81,11991,Other parts of aeroplanes or helicopters,20106,helicopters
82,11995,Flight simulators apparatus and parts thereof,8397,flight
83,11999,Tankers ships,42414,tanker ships
84,12014,"Mount.piezo-electr.crystals,of quartzo,1<=freq<=100mhz",33961,mh
85,12041,Endoscopy,4663,endoscopy
86,12087,"Microprocessors,mounted,f/surface mounted device",8717,microprocessors
87,12098,Suspension shock-absorbers f/tractors and motor vehic.,21045,shock
88,12128,Artificial respiration apparatus,4688,artificial respiration
89,12129,Appliances known as iron lungs,30164,lungs
90,12130,Ozone therapy apparatus and oth.of therapeutic respir.,37661,ozone
91,12141,Reception appar.personal of radium-mes.in screen(ecran),39826,radium
92,12183,Electronic microassemblies,36565,assemblies
93,12188,Ion implanters for doping semiconductor materials,7013,doping
94,12191,"Mach.appar.f/electroplat.electrolysis,electrophoresis",11477,electrolysis
95,12237,Viscosimeters,11769,viscosimeters
96,12260,"Eiderdowns, cushions, pouffes, pillows and simil.articles",20782,downs
97,12291,Instruments and apparatus for measuring radioactivity,1710,measuring instruments
98,12364,"Motor-boats, other than outboard motor-boats",38,motor boats
99,12365,"Other vessels for pleasure or sports,incl.canoes",10177,canoes
100,12366,Tugs and pusher craft,19678,tugs
101,12367,Dredgers,7027,dredgers
102,12369,"Light-vessels/floating cranes/docks/flotation dikes,etc",6151,light vessels
103,12376,"Optical fibres,nucleus diam.<11micron",37238,nucleus
104,12377,Other optical fibres,41103,optical fibres
105,12467,Oth.parts f/radar apparatus,7398,radar
106,12470,Digital elec.appar.f/control of railways traffic,18737,railways
107,12474,Radio-freq. amplifier for microwave with low noise temp.<55k,37147,noise
108,12475,Radio-freq. amplifier for distribution of signs for television,6944,distribution
109,12480,Gener.of special effects with man.2 or 3 dimen. +d/10 inputs,1362,inputs
110,12491,"Balloons,dirigibles and other aircraft n/motorized",6956,loons
111,12554,Fire-fighting-vehicles,12229,fire fighting
112,12560,"Oth.instrum.and applian.used in geodesy,topography,etc",15933,geodesy
113,12582,"Monoculars other astronomy instrumets,its mountings",2346,astronomy
114,12625,Lancets for vaccination and cauterising,3651,vaccination
115,12677,Vacuum swifts without autom. activ. device <=1600a,42315,swifts
116,12704,"Photog.cameras f/recording documents on microfilm,etc",36354,documents
117,12734,Boards with control of elect.power demand appar.t<=1kv,6567,demand
118,12740,"Hooks,buffers,etc.of vehicles f/railway",19628,buffers
119,12751,Log-skidding tractors,11265,skidding
120,12765,Sorters f/photocopyng apparatus,9024,sorters
121,12796,Apparatus of administration of nets (tmn),2032,administration
122,12847,"Lightning arres.f/protec.elec.transm.lines, t>1kv",28666,lightning
123,12880,Cameras,37319,underwater cameras
124,12960,Other mixtures of aromatic hydrocarbons,12169,aromatic hydrocarbons
125,12964,Oth.parts f/switches appar.elec.circuit protection,16922,protection
126,12994,Proc.equipment f/electronic treatment of images,36076,electronic equipment
127,13001,Microscopes for photomicrography,1767,microscopes
128,13002,Microscopes for cinephotomicrography,2278,photomicrography
129,13009,Other microscopes and diffraction,36523,diffraction
