,source_1,source_2
0,5926,48616
1,5935,11641
2,5940,39092
3,5976,39106
4,5997,12166
5,6010,10714
6,6045,10898
7,6049,7552
8,6059,38444
9,6060,2298
10,6076,1371
11,6140,11399
12,6142,11670
13,6145,2047
14,6148,7279
15,6152,41163
16,6154,16952
17,6155,11680
18,6170,33960
19,6176,40232
20,6178,37640
21,6205,1886
22,6207,9448
23,6209,10846
24,6212,3234
25,6214,37791
26,6215,19447
27,6216,30446
28,6219,3123
29,6220,13053
30,6223,8962
31,6224,40430
32,6226,4106
33,6566,36949
34,6235,49086
35,6255,16468
36,6321,6223
37,6626,40213
38,6393,11416
39,6394,37493
40,6400,38308
41,6402,42575
42,6413,8569
43,6415,704
44,6416,10712
45,6417,17047
46,6445,3236
47,6448,41333
48,6455,5549
49,6480,40190
50,6516,42408
51,6522,34598
52,6544,16070
53,7107,37899
54,7108,38092
55,6578,11564
56,6580,8591
57,6586,36515
58,6591,19920
59,6624,19510
60,6627,8938
61,6628,41651
62,6629,43694
63,6634,22325
64,6640,20855
65,6658,45477
66,6664,9349
67,6689,16076
68,6691,42268
69,6704,41169
70,6709,19913
71,6732,726
72,6794,39999
73,6801,11476
74,6804,4227
75,6813,11309
76,6817,35734
77,6822,42878
78,6823,22029
79,6828,3730
80,6836,46740
81,6843,41350
82,6869,32522
83,6881,5371
84,6897,1437
85,6906,17135
86,6908,7551
87,6975,8349
88,6975,46041
89,6992,39845
90,6994,17938
91,7004,36538
92,7020,42498
93,7026,45680
94,7027,6597
95,7029,11690
96,7080,11589
97,7088,46528
98,7091,6876
99,7134,11505
100,7135,3684
101,7144,2163
102,7146,47110
103,7148,1016
104,7149,42418
105,7164,266
106,7270,41271
107,7280,38325
108,7287,46695
109,7290,41713
110,7297,903
111,7310,25390
112,7346,39934
113,7354,33256
114,7362,11027
115,7365,38569
116,7366,44083
117,7379,11272
118,7423,7433
119,7427,34876
120,7519,49044
121,8067,23080
122,7599,5966
123,7603,38568
124,7670,10040
125,7672,5068
126,7684,10053
127,7687,1397
128,7718,16943
129,7724,8571
130,7728,43131
131,7749,20046
132,7779,4582
133,7787,39056
134,7913,44204
135,7916,7504
136,7917,48840
137,7919,36914
138,7952,8736
139,7953,9984
140,7954,40765
141,8607,43883
142,8003,25004
143,8010,40145
144,8484,32547
145,8051,28657
146,8086,46744
147,8099,10058
148,8103,5524
149,8104,41321
150,8105,24892
151,8132,38186
152,8155,36046
153,8157,37065
154,8332,38939
155,8360,5107
156,8384,10190
157,8386,47179
158,8394,5473
159,8427,3904
160,8431,17348
161,8432,3794
162,8433,36456
163,8437,16930
164,8442,442
165,8446,42854
166,8447,3134
167,8463,36774
168,8496,42912
169,8632,38570
170,8635,41567
171,8667,22729
172,8668,42422
173,8679,22312
174,8781,28368
175,9980,17158
176,8816,39338
177,8822,36005
178,8864,11785
179,8865,40237
180,8872,16065
181,8875,3582
182,8880,21352
183,8898,20486
184,8926,39846
185,8934,41458
186,8969,42655
187,9031,18661
188,9038,22339
189,9046,41358
190,9050,9062
191,9073,37603
192,9074,8528
193,9076,9038
194,9150,6927
195,9152,35724
196,9154,42536
197,9155,23313
198,9160,35733
199,9171,8902
200,9177,21304
201,9178,11513
202,9179,16819
203,9180,7280
204,9184,16145
205,9217,23564
206,9218,11275
207,9243,21481
208,9245,6224
209,9251,42077
210,9259,44114
211,9260,4673
212,9269,41231
213,9276,36544
214,9282,8362
215,9308,36582
216,9318,16553
217,9428,5777
218,9436,24893
219,9438,40204
220,9448,17050
221,9461,7408
222,9469,12638
223,9470,19830
224,9479,36658
225,9509,40621
226,9518,9035
227,9520,26153
228,9522,5752
229,9523,16909
230,9529,19914
231,9533,9348
232,9535,5717
233,9539,41629
234,9556,12346
235,9584,3930
236,9585,45699
237,9614,39996
238,9620,36707
239,9621,47710
