,id_1,source_1,id_2,source_2
0,0,"Horses, asses, mules and hinnies; live, pure-bred breeding animals",20833,hinnies
1,1,"Horses; live, pure-bred breeding animals",29911,animals
2,2,"Horses; live, other than pure-bred breeding animals",36107,breeding
3,4,"Horses, asses, mules and hinnies; live, other than pure-bred breeding animals",35986,mules
4,6,"Cattle; live, pure-bred breeding animals",2921,cattle
5,11,"Swine; live, pure-bred breeding animals",42318,swine
6,12,"Swine; live, (other than pure-bred breeding animals), weighing less than 50kg",9050,weighing
7,16,"Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g",10191,gallus
8,17,"Poultry; live, weighing not more than 185g, turkeys",21500,mor
9,18,"Poultry; live, ducks, weighing not more than 185g",7374,ducks
10,19,"Poultry; live, geese, weighing not more than 185g",15694,geese
11,20,"Poultry; live, guinea fowls, weighing not more than 185g",18841,guinea
12,21,"Poultry; live, weighing not more than 185g, ducks, geese, turkeys and guinea fowls",37624,owls
13,22,"Poultry; live, fowls of the species gallus domesticus, weighing more than 185g",15150,ga
14,23,"Poultry; live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus",39222,poultry
15,24,"Poultry; live, weighing over 2000g, fowls of the species gallus domesticus",41760,species
16,25,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",43379,turkey
17,26,"Mammals; live, camels and other camelids (Camelidae)",3941,camelidae
18,27,"Mammals; live, rabbits and hares",19639,hares
19,28,"Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)",3477,cetacea
20,29,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",8848,emus
21,30,"Animals; live, birds, other than birds of prey and Psittaciformes",2731,cifor
22,31,"Insects; live, bees",23528,insects
23,32,"Insects; live, other than bees",36125,ec
24,33,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles and birds",31309,mammals
25,34,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",2074,carcasses
26,35,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",38461,arca
