,source_1,source_2
0,0,20744
1,1,29816
2,2,36008
3,3,35887
4,5,2890
5,10,42193
6,11,8968
7,12,18142
8,13,10108
9,14,21410
10,15,7311
11,16,15609
12,17,18752
13,18,37520
14,19,15065
15,20,39112
16,21,41638
17,22,43252
18,23,3889
19,24,19550
20,25,3433
21,26,8766
22,27,2703
23,28,23434
24,29,36026
25,30,31214
26,31,2059
27,32,38356
28,33,32461
29,34,32462
30,36,14555
31,38,1675
32,41,19425
33,43,26635
34,52,37280
35,53,42666
36,54,29318
37,59,17523
38,61,19685
39,62,19699
40,63,48051
41,65,43253
42,84,6930
43,87,41334
44,89,41120
45,90,3534
46,93,7332
47,94,4137
48,95,8264
49,96,2300
50,97,30271
51,98,42561
52,99,4139
53,100,2975
54,101,12073
55,102,6732
56,103,12111
57,104,19351
58,105,31207
59,106,37308
60,107,31380
61,109,42165
62,110,40122
63,112,17121
64,113,43235
65,116,16433
66,118,8913
67,119,3950
68,120,17233
69,121,30461
70,122,7179
71,123,38100
72,124,5384
73,125,73
74,126,5319
75,127,9693
76,128,7195
77,129,40436
78,130,23683
79,131,3474
80,132,16313
81,133,17449
82,134,6921
83,136,42199
84,138,9666
85,139,7835
86,140,1970
87,142,41089
88,143,22992
89,145,6658
90,146,842
91,147,14544
92,148,37332
93,149,21286
94,150,41944
95,151,37572
96,152,43009
97,154,8084
98,155,4210
99,157,23853
100,158,20768
101,159,22192
102,161,43244
103,163,43234
104,170,20399
105,171,15097
106,172,40464
107,173,21531
108,174,42718
109,176,44158
110,180,3949
111,181,7277
112,182,33443
113,183,38952
114,184,43999
115,185,40465
116,186,19134
117,188,40568
118,192,43437
119,196,13055
120,197,8219
121,203,16276
122,204,17405
123,205,7570
124,206,23864
125,207,18234
126,208,19389
127,211,37966
128,212,40354
129,215,40801
130,216,22274
131,218,26483
132,219,32956
133,220,38950
134,223,23883
135,224,44757
136,225,31168
137,227,1051
138,232,40358
139,233,41275
140,236,6976
141,237,38587
142,239,24207
143,241,5860
144,242,5920
145,243,5921
146,244,5849
147,245,8899
148,246,5432
149,247,41095
150,248,8672
151,249,20932
152,250,41865
153,251,43845
154,252,12754
155,253,5852
156,254,37921
157,255,35007
158,256,37555
159,258,3941
160,259,37889
161,260,20029
162,261,36396
163,266,5061
164,267,5368
165,268,19365
166,270,524
167,271,23866
168,272,1213
169,273,4760
170,274,5145
171,275,5869
172,276,21175
173,277,34220
174,278,39255
175,279,42081
176,280,17952
177,281,43947
178,285,6647
179,286,43987
180,288,11196
181,289,534
182,290,3577
183,293,8396
184,294,1235
185,295,5944
186,296,45419
187,300,8397
188,302,45841
189,303,20984
190,304,39256
191,305,914
192,306,5596
193,307,41945
194,308,33181
195,309,5610
196,311,1195
197,312,4598
198,313,6217
199,314,38591
200,315,2916
201,316,36970
202,317,1139
203,318,5038
204,319,4573
205,320,12817
206,321,4274
207,322,1326
208,323,17666
209,325,466
210,326,3141
211,327,43540
212,328,735
213,329,11486
214,331,5673
215,332,4515
216,333,45764
217,334,23970
218,335,2730
219,336,1059
220,337,1523
221,338,17476
222,339,2100
223,340,3039
224,341,8211
225,342,43029
226,343,5387
227,344,1803
228,347,6142
229,349,3478
230,350,38473
231,351,38118
232,353,26743
233,354,8379
234,355,42345
235,356,4425
236,357,43759
237,359,5410
238,360,21938
239,362,1964
240,363,38219
241,364,7586
242,365,14892
243,366,44000
244,368,38475
245,369,41222
246,370,43349
247,372,43659
248,375,820
249,377,3785
250,378,1928
251,379,11003
252,380,7313
253,381,808
254,387,44535
255,389,5606
256,390,5607
257,391,3688
258,393,2655
259,394,42541
260,395,46484
261,397,27823
262,398,1617
263,399,30373
264,400,38503
265,402,14597
266,403,1161
267,405,4861
268,406,27742
269,408,13003
270,409,1713
271,411,39377
272,412,36808
273,413,38879
274,414,17648
275,416,677
276,418,14731
277,419,41987
278,420,8725
279,426,2607
280,430,42115
281,431,5413
282,432,37189
283,435,20650
284,436,22109
285,437,43067
286,441,3961
287,442,8736
288,443,1927
289,444,6985
