,id1,source_1,id2,source_2
0,0,"Horses, asses, mules and hinnies; live, pure-bred breeding animals",20744,hinnies
1,1,"Horses; live, pure-bred breeding animals",29816,animals
2,2,"Horses; live, other than pure-bred breeding animals",36008,breeding
3,3,"Horses, asses, mules and hinnies; live, other than pure-bred breeding animals",35887,mules
4,5,"Cattle; live, pure-bred breeding animals",2890,cattle
5,10,"Swine; live, pure-bred breeding animals",42193,swine
6,11,"Swine; live, (other than pure-bred breeding animals), weighing less than 50kg",8968,weighing
7,12,"Swine; live, (other than pure-bred breeding animals), weighing 50kg or more",18142,hing
8,13,"Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g",10108,gallus
9,14,"Poultry; live, weighing not more than 185g, turkeys",21410,mor
10,15,"Poultry; live, ducks, weighing not more than 185g",7311,ducks
11,16,"Poultry; live, geese, weighing not more than 185g",15609,geese
12,17,"Poultry; live, guinea fowls, weighing not more than 185g",18752,guinea
13,18,"Poultry; live, weighing not more than 185g, ducks, geese, turkeys and guinea fowls",37520,owls
14,19,"Poultry; live, fowls of the species gallus domesticus, weighing more than 185g",15065,ga
15,20,"Poultry; live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus",39112,poultry
16,21,"Poultry; live, weighing over 2000g, fowls of the species gallus domesticus",41638,species
17,22,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",43252,turkey
18,23,"Mammals; live, camels and other camelids (Camelidae)",3889,camelidae
19,24,"Mammals; live, rabbits and hares",19550,hares
20,25,"Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)",3433,cetacea
21,26,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",8766,emus
22,27,"Animals; live, birds, other than birds of prey and Psittaciformes",2703,cifor
23,28,"Insects; live, bees",23434,insects
24,29,"Insects; live, other than bees",36026,ec
25,30,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles and birds",31214,mammals
26,31,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",2059,carcasses
27,32,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",38356,arca
28,33,"Meat; of bovine animals, boneless cuts, fresh or chilled",32461,fresh meat
29,34,"Meat; of bovine animals, carcasses and half-carcasses, frozen",32462,meat
30,36,"Meat; of bovine animals, boneless cuts, frozen",14555,frozen meat
31,38,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",1675,ms
32,41,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",19425,hams
33,43,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",26635,lamb meat
34,52,"Offal, edible; of bovine animals, fresh or chilled",37280,offal
35,53,"Offal, edible; of bovine animals, tongues, frozen",42666,tongue
36,54,"Offal, edible; of bovine animals, livers, frozen",29318,liver
37,59,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",17523,goa
38,61,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), fresh or chilled",19685,head
39,62,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), frozen",19699,heading
40,63,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, cuts and offal, fresh or chilled",48051,tic
41,65,"Meat and edible offal; turkeys, not cut in pieces, frozen",43253,turkeys
42,84,"Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea) and manatees and dugongs (mammals of the order Sirenia), fresh, chilled or frozen",6930,dolphins
43,87,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",41334,act
44,89,"Meat, preserved; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine, dried or smoked",41120,shoulders
45,90,"Meat, preserved; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",3534,bel
46,93,"Meat and edible meat offal, preserved; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates,whales, dolphins and porpoises, manatees and dugongs, reptiles (including snakes and turtles)",7332,dugongs
47,94,"Fish; live, trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)",4137,fish
48,95,"Fish; live, eels (anguilla spp.)",8264,eels
49,96,"Fish; live, carp",2300,carp
50,97,"Fish; live, bluefin tunas (Thunnus thynnus)",30271,thunnus thynnus
51,98,"Fish; live, southern bluefin tunas (Thunnus maccoyii)",42561,thunnus
52,99,"Fish; trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",4139,fresh fish
53,100,"Fish; Pacific salmon (oncorhynchus spp.), Atlantic salmon (salmo salar), Danube salmon (hucho hucho), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",2975,salmo salar
54,101,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, livers, roes, other fish meat of heading 0304",12073,fillets
55,102,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, livers, roes, and other fish meat of heading 0304",6732,ube
56,103,"Fish; salmonidae, fresh or chilled, n.e.s. in item no. 0302.1 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",12111,fish fillets
57,104,"Fish; halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",19351,halibut
58,105,"Fish; plaice (pleuronectes platessa), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",31207,pleuronectes platessa
59,106,"Fish; sole (solea spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",37308,olea
60,107,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, livers, roes, and other fish meat of heading 0304",31380,scophthalmidae
61,109,"Fish; albacore or longfinned tunas (thunnus alalunga), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",42165,ba
62,110,"Fish; yellowfin tunas (thunnus albacares), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",40122,roes
63,112,"Fish; bigeye tunas (Thunnus obesus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",17121,sus
64,113,"Fish; bluefin tunas (Thunnus thynnus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",43235,tuna
65,116,"Fish; herrings (clupea harengus, clupea pallasii), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",16433,clupea
66,118,"Fish; fresh or chilled, anchovies (Engraulis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",8913,engraulis
67,119,"Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, livers, roes, and other fish meat of heading 0304",3950,rattus
68,120,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, livers, roes, and other fish meat of heading 0304",17233,au
69,121,"Fish; fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",30461,mackerel
70,122,"Fish; fresh or chilled, cobia (Rachycentron canadum), excluding fillets, livers, roes, and other fish meat of heading 0304",7179,can
71,123,"Fish; fresh or chilled, swordfish (Xiphias gladius), excluding fillets, livers, roes, and other fish meat of heading 0304",38100,ph
72,124,"Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",5384,cod
73,125,"Fish; fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, livers, roes, and other fish meat of heading 0304",73,doc
74,126,"Fish; fresh or chilled, coalfish (Pollachius virens), excluding fillets, livers, roes, and other fish meat of heading 0304",5319,coal
75,127,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",9693,phycis
76,128,"Fish; fresh or chilled, Alaska pollack (Theragra chalcogramma), excluding fillets, livers, roes, and other fish meat of heading 0304",7195,alaska
77,129,"Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, livers, roes, and other fish meat of heading 0304",40436,poutassou
78,130,"Fish; sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",23683,sprattus sprattus
79,131,"Fish; haddock (melanogrammus aeglefinus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",3474,aegle
